,date,title,rank,rank_last_week,weeks_on_list,description,publisher,author
0,2019-10-25,THE 19TH CHRISTMAS,1,0,1,"In the 19th installment of the Women's Murder Club series, detective Lindsay Boxer and company take on a fearsome criminal known only as ""Loman.""","Little, Brown",James Patterson and Maxine Paetro
1,2019-10-25,WHERE THE CRAWDADS SING,2,3,58,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
2,2019-10-25,WHAT HAPPENS IN PARADISE,3,0,1,"In the sequel to ""Winter in Paradise,"" Irene Steele visits the island of St. John to get to the bottom of the mysterious life and death of her husband.","Little, Brown",Elin Hilderbrand
3,2019-10-25,NINTH HOUSE,4,0,1,"After mysteriously surviving a multiple homicide, Galaxy Stern comes face to face with dark magic, murder and more at Yale University.",Flatiron,Leigh Bardugo
4,2019-10-25,THE INSTITUTE,5,2,5,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.,Scribner,Stephen King
5,2019-10-25,THE WATER DANCER,6,1,3,A young man who was gifted with a mysterious power becomes part of a war between slavers and the enslaved.,One World,Ta-Nehisi Coates
6,2019-10-25,THE DUTCH HOUSE,7,4,3,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.,Harper,Ann Patchett
7,2019-10-25,THE TESTAMENTS,8,6,5,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay.",Nan A. Talese/Doubleday,Margaret Atwood
8,2019-10-25,CHILD'S PLAY,9,0,1,A prestigious New York lawyer learns that the life she constructed for her children and herself isn't exactly what she thought it was.,Delacorte,Danielle Steel
9,2019-10-25,THE GIVER OF STARS,10,0,1,"In Depression-era America, five women refuse to be cowed by men or convention as they deliver books throughout the mountains of Kentucky.",Pamela Dorman/Viking,Jojo Moyes
10,2019-10-25,BLOODY GENIUS,11,5,2,The 12th book in the Virgil Flowers series. A fight between university departments turns deadly.,Putnam,John Sandford
11,2019-10-25,VINCE FLYNN: LETHAL AGENT,12,7,3,"Mexican cartels, ISIS and a possible pandemic bring Mitch Rapp back into action.",Emily Bestler/Atria,Kyle Mills
12,2019-10-25,CILKA'S JOURNEY,13,8,2,"A 16-year-old, who sleeps with a concentration camp commandant in order to survive, is sentenced to a Siberian prison camp where she cares for the ill.",St. Martin's,Heather Morris
13,2019-10-25,IMAGINARY FRIEND,14,10,2,"After disappearing for six days, a boy emerges from the woods with a voice in his head that sends him on a mission.",Grand Central,Stephen Chbosky
14,2019-10-25,THE ORACLE,15,13,6,A traveler discovers mysteries hidden behind seven locked doors.,Front Line,Jonathan Cahn
15,2019-10-18,THE WATER DANCER,1,1,2,A young man who was gifted with a mysterious power becomes part of a war between slavers and the enslaved.,One World,Ta-Nehisi Coates
16,2019-10-18,THE INSTITUTE,2,2,4,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.,Scribner,Stephen King
17,2019-10-18,WHERE THE CRAWDADS SING,3,5,57,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
18,2019-10-18,THE DUTCH HOUSE,4,6,2,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.,Harper,Ann Patchett
19,2019-10-18,BLOODY GENIUS,5,0,1,The 12th book in the Virgil Flowers series. A fight between university departments turns deadly.,Putnam,John Sandford
20,2019-10-18,THE TESTAMENTS,6,3,4,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay.",Nan A. Talese/Doubleday,Margaret Atwood
21,2019-10-18,VINCE FLYNN: LETHAL AGENT,7,4,2,"Mexican cartels, ISIS and a possible pandemic bring Mitch Rapp back into action.",Emily Bestler/Atria,Kyle Mills
22,2019-10-18,CILKA'S JOURNEY,8,0,1,"A 16-year-old, who sleeps with a concentration camp commandant in order to survive, is sentenced to a Siberian prison camp where she cares for the ill.",St. Martin's,Heather Morris
23,2019-10-18,FULL THROTTLE,9,0,1,A collection of short stories including two written with Stephen King: “Throttle” and “In the Tall Grass.”,Morrow,Joe Hill
24,2019-10-18,IMAGINARY FRIEND,10,0,1,"After disappearing for six days, a boy emerges from the woods with a voice in his head that sends him on a mission.",Grand Central,Stephen Chbosky
25,2019-10-18,A MRS. MIRACLE CHRISTMAS,11,0,1,A visitor helps the McCullough family beyond expectation during the holiday season.,Ballantine,Debbie Macomber
26,2019-10-18,THE GIRL WHO LIVED TWICE,12,7,6,Mikael Blomkvist helps Lisbeth Salander put her past behind her in the latest installment of Stieg Larsson's Millennium series.,Knopf,David Lagercrantz
27,2019-10-18,THE ORACLE,13,9,5,A traveler discovers mysteries hidden behind seven locked doors.,Front Line,Jonathan Cahn
28,2019-10-18,RED AT THE BONE,14,11,3,The long-lasting decisions young people make are explored through the history of a Brooklyn teenager’s family.,Riverhead,Jacqueline Woodson
29,2019-10-18,THE SECRETS WE KEPT,15,10,5,"During the Cold War, members of the C.I.A.’s typing pool aid its mission to smuggle the banned book “Doctor Zhivago” behind the Iron Curtain.",Knopf,Lara Prescott
30,2019-10-11,THE WATER DANCER,1,0,1,A young man who was gifted with a mysterious power becomes part of a war between slavers and the enslaved.,One World,Ta-Nehisi Coates
31,2019-10-11,THE INSTITUTE,2,1,3,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.,Scribner,Stephen King
32,2019-10-11,THE TESTAMENTS,3,2,3,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay.",Nan A. Talese/Doubleday,Margaret Atwood
33,2019-10-11,VINCE FLYNN: LETHAL AGENT,4,0,1,"Mexican cartels, ISIS and a possible pandemic bring Mitch Rapp back into action.",Emily Bestler/Atria,Kyle Mills
34,2019-10-11,WHERE THE CRAWDADS SING,5,3,56,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
